Stopword
!
""""
#
$
%
&
'
(
)
*
+
","
-
.
/
:
;
<
=
>
?
@
[
\
]
^
_
`
a
ab
abhi
about
above
across
after
afterwards
again
against
all
almost
alone
along
already
also
although
always
am
among
amongst
amoungst
amount
an
and
another
any
anyhow
anyone
anything
anyway
anywhere
apna
apni
are
around
as
at
aur
back
bahut
be
became
because
become
becomes
becoming
been
before
beforehand
behind
being
below
beside
besides
between
beyond
bhi
bill
both
bottom
but
by
call
can
cannot
cant
co
con
could
couldnt
cry
de
describe
detail
do
done
down
due
during
each
eg
eight
either
eleven
else
elsewhere
empty
enough
etc
even
ever
every
everyone
everything
everywhere
except
few
fifteen
fifty
fill
find
fir
fire
first
five
for
former
formerly
forty
found
four
from
front
full
further
get
give
go
ha
haan
had
hai
has
hasnt
have
he
hence
her
here
hereafter
hereby
herein
hereupon
hers
herself
him
himself
his
ho
hota
hote
hoti
how
however
hum
hundred
i
ie
if
in
inc
indeed
inka
interest
into
is
it
its
itself
jab
jis
jise
jo
ka
ke
keep
ki
kis
ko
kuch
kya
kyon
kyu
last
latter
latterly
least
lekin
less
ltd
made
magar
main
many
may
me
meanwhile
mein
mera
meri
might
mill
mine
more
moreover
most
mostly
move
much
must
my
myself
nahi
name
namely
neither
never
nevertheless
next
nine
no
nobody
none
noone
nor
not
nothing
now
nowhere
of
off
often
on
once
one
only
onto
or
other
others
otherwise
our
ours
ourselves
out
over
own
par
part
per
perhaps
phir
please
put
rather
re
sab
same
se
see
seem
seemed
seeming
seems
serious
several
she
should
show
side
since
sincere
six
sixty
so
some
somehow
someone
something
sometime
sometimes
somewhere
still
such
system
tab
tak
take
ten
tera
teri
tha
than
that
the
their
them
themselves
then
thence
there
thereafter
thereby
therefore
therein
thereupon
these
they
thi
thick
thin
third
this
thoda
those
though
three
through
throughout
thru
thus
to
together
toh
too
top
toward
towards
tum
twelve
twenty
two
un
under
unka
until
up
upon
us
uska
very
via
was
we
well
were
what
whatever
when
whence
whenever
where
whereafter
whereas
whereby
wherein
whereupon
wherever
whether
which
while
whither
who
whoever
whole
whom
whose
why
will
with
within
without
wo
woh
would
ya
ye
yet
you
your
yours
yourself
yourselves
zyaada
{
|
}
~
